family,variant,cfg,arm,floor,fold,P,n_fit,fit_seconds,wape,mase,mase_median,mase_series,mase_excluded,mae,rmse,share_y_le_forecast,wape_low,wape_mid,wape_high
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 5}",all,0.07142857142857142,F4,10,347571,2.4,0.3989109826872819,1.4645830623102685,0.7862784063425836,300,0,5.046888782631928,10.655100176628359,0.6058333333333333,0.5594328874321277,0.42510950954708515,0.3717640903405381
xgb,norm,"{""max_depth"": 6, ""min_child_weight"": 5}",all,0.07142857142857142,F4,10,347571,6.4,0.3925965583469206,1.524575939911732,0.7674552325582675,300,0,4.96700079068579,10.178047328706088,0.5702777777777778,0.5384119816840184,0.4122289478889427,0.36921691809410234
lr,raw,{},all,,F4,14,346371,3.2,0.36632308705530386,1.7141460643551947,0.8415387527431475,300,0,6.708291531700252,14.265120169040985,0.5147222222222222,0.5080170670508248,0.3844240487916144,0.3437841209407306
lr,norm,{},all,0.07142857142857142,F4,14,346371,3.0,0.5607693013814904,2.1892066714488005,0.925795416126615,300,0,10.269087831548545,27.718534868744342,0.5452777777777778,0.5285209584825713,0.5235987783713932,0.5761219909932539
rf,raw,"{""max_depth"": 10, ""min_samples_leaf"": 60}",all,,F4,14,346371,1.6,0.3504647143144337,1.8442186560375782,0.764139710003953,300,0,6.417885080883067,14.881706506599665,0.55,0.4778583287054083,0.36908174885327605,0.32947579245209824
rf,raw,"{""max_depth"": 10, ""min_samples_leaf"": 20}",all,,F4,14,346371,1.7,0.346693479300462,1.793278294575292,0.7779540918300138,300,0,6.348824339689711,14.428660626062664,0.5477777777777778,0.4771588898398976,0.3682606257930163,0.3244248080938478
rf,raw,"{""max_depth"": 16, ""min_samples_leaf"": 60}",all,,F4,14,346371,1.6,0.34930446564905715,1.843340285863955,0.7707507887236086,300,0,6.3966380271983585,14.888708448301504,0.5475,0.47606646801769875,0.3690695128231006,0.32803596260847884
rf,raw,"{""max_depth"": 16, ""min_samples_leaf"": 20}",all,,F4,14,346371,1.9,0.3465850027108598,1.7909633405937166,0.7693478972474266,300,0,6.34683786214262,14.400057606220441,0.5425,0.4704193403100241,0.3667153479665502,0.32555352403079246
rf,norm,"{""max_depth"": 10, ""min_samples_leaf"": 60}",all,0.07142857142857142,F4,14,346371,1.9,0.35933470787945515,1.8206841858653084,0.7884266734256402,300,0,6.580316838042522,14.496563191173962,0.5572222222222222,0.4889035904325692,0.3729456600742538,0.33963416050126477
rf,norm,"{""max_depth"": 10, ""min_samples_leaf"": 20}",all,0.07142857142857142,F4,14,346371,1.9,0.3609819146006246,1.7994692923893676,0.7825056580613756,300,0,6.610481311123938,14.354500439123173,0.5655555555555556,0.48642109140742135,0.37506927890189934,0.34162773203506513
rf,norm,"{""max_depth"": 16, ""min_samples_leaf"": 60}",all,0.07142857142857142,F4,14,346371,2.2,0.35555121914473786,1.813760234827859,0.7897675573971441,300,0,6.511031700588012,14.313540938752418,0.5486111111111112,0.4847864074367659,0.368273375337819,0.3361654809321953
rf,norm,"{""max_depth"": 16, ""min_samples_leaf"": 20}",all,0.07142857142857142,F4,14,346371,2.4,0.35500768592531334,1.8018924868299055,0.7797967763008088,300,0,6.501078248507301,14.135970393018713,0.5558333333333333,0.47942214700931335,0.366323824131333,0.336633183873264
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 30}",all,,F4,14,346371,6.9,0.35666392470800745,1.8781567105243873,0.8109748286489842,300,0,6.531408121215387,14.88513802227329,0.5508333333333333,0.5163995560982614,0.3725139161823894,0.3326642504464542
xgb,raw,"{""max_depth"": 3, ""min_child_weight"": 5}",all,,F4,14,346371,5.3,0.35387197148044947,1.8729918332111242,0.8015915108072535,300,0,6.4802804777357315,14.50213724774353,0.5575,0.5190469489484875,0.3706970396192897,0.3289203974390284
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 30}",all,,F4,14,346371,6.9,0.3651410299103324,1.890985977409614,0.7984136129887731,300,0,6.686645110232963,15.66562656668856,0.5430555555555555,0.4905014330706275,0.3764784974696365,0.34664683893172443
xgb,raw,"{""max_depth"": 6, ""min_child_weight"": 5}",all,,F4,14,346371,5.3,0.3642111272110286,1.9036214417286375,0.8020560983335592,300,0,6.669616267051961,15.667352945099564,0.5408333333333334,0.49308335510953083,0.37347259294944124,0.345939212809862
xgb,norm,"{""max_depth"": 3, ""min_child_weight"": 30}",all,0.07142857142857142,F4,14,346371,13.9,0.37663767969027295,1.9281262238731707,0.8317003721763039,300,0,6.897177509328123,14.89486263572949,0.5508333333333333,0.49205806958797715,0.3822881690875883,0.3610909068595299
